年,季,公司代號,公司簡稱,簽證會計師事務所名稱,簽證會計師,簽證會計師,核閱或查核日期,核閱或查核報告類型
2005,2,1470,大統新創,勤業眾信會計師事務所,劉永富,涂三遷,94-07-25,保留意見--依被投資公司未經會計師查核報告認列投資損益
2005,2,1471,首利,資誠會計師事務所,徐永堅,支秉鈞,94-08-25,無保留意見
2005,2,1472,三洋紡,勤業眾信 會 計 師 事 務 所,陳杰忠,黃海悅,94-08-26,保留意見--依被投資公司未經會計師查核報告認列投資損益
2005,2,1473,台南,資誠會計師事務所,李明憲,林姿妤,94-08-26,保留意見--依被投資公司未經會計師查核報告認列投資損益
2005,2,1474,弘裕,建智聯合會計師事務所,陳貴端,陳靜宜,94-07-27,無保留意見
2005,2,1475,本盟,資誠會計師事務所,林鈞堯,王照明,94-08-24,保留意見--依被投資公司未經會計師查核報告認列投資損益
2005,2,1476,儒鴻,安侯建業會計師事務所,寇惠植,李慈慧,94-08-22,保留意見--依被投資公司未經會計師查核報告認列投資損益
2005,2,1477,聚陽,安侯建業會計師事務所,于紀隆,唐慈杰,94-08-26,保留意見--依被投資公司未經會計師查核報告認列投資損益
2005,2,1503,士電,勤業眾信會計師事務所,張銘政,郭文吉,94-08-12,保留意見--依被投資公司未經會計師查核報告認列投資損益
2005,2,1504,東元,資誠會計師事務所,薛明玲,曾惠瑾,94-08-25,保留意見--依被投資公司未經會計師查核報告認列投資損益
2005,2,1506,正道,安侯建業會計師事務所,"江忠儀 (YYY代表會計�/td>連淑凌 (YYY代表會計�/td>94/08/18
保留意見--依被投資公司未經會計師查核報告認列投資損益","連淑凌 (YYY代表會計�/td>94/08/18
保留意見--依被投資公司未經會計師查核報告認列投資損益",94-08-18,保留意見--依被投資公司未經會計師查核報告認列投資損益
2005,2,1507,永大,建昇財稅聯合會計師事務所,陳仁基,蔡季嫻,94-08-03,修正式無保留意見--採用其他會計師查核且欲區分責任
2005,2,1512,瑞利,勤 業 眾 信 會 計 師 事 務 所,吳秋燕,郭麗園,94-08-05,無保留意見
2005,2,1513,中興電,鼎信聯合會計師事務所,諶  清,單思達,94-08-18,無保留意見
2005,2,1514,亞力,惠眾會計師事務所,李伯承,洪佑玲,94-08-22,保留意見--依被投資公司未經會計師查核報告認列投資損益
2005,2,1515,力山,安侯建業會計師事務所,張字信,魏忠華,94-08-18,保留意見--依被投資公司未經會計師查核報告認列投資損益
2005,2,1516,川飛,安侯建業會計師事務所,陳君滿,張字信,94-08-26,修正式無保留意見--欲強調某一事項
2005,2,1517,利奇,勤業眾信會計師事務所,吳麗冬,呂惠民,94-08-11,無保留意見
2005,2,1519,華城,勤業眾信會計師事務所,張敬人,李東峰,94-08-19,保留意見--依被投資公司未經會計師查核報告認列投資損益
2005,2,1521,大億,勤業眾信會計師事務所,黃李松,王茂霖,94-08-19,無保留意見
2005,2,1522,堤維西,致遠會計師事務所,黃崇輝,吳健源,94-08-05,保留意見--依被投資公司未經會計師查核報告認列投資損益
2005,2,1524,耿鼎,正風聯合會計師事務所,鄭憲修,曾國富,94-07-25,保留意見--依被投資公司未經會計師查核報告認列投資損益
2005,2,1525,江申,勤業眾信會計師事務所,邵志明,許秀明,94-07-27,保留意見--依被投資公司未經會計師查核報告認列投資損益
2005,2,1526,日馳,立本台灣聯合會計師事務所,柯俊輝,陳玉芳,94-08-26,保留意見--依被投資公司未經會計師查核報告認列投資損益
2005,2,1527,鑽全,致遠會計師事務所,林奇威,游朝堂,94-08-02,修正式無保留意見--會計原則變動
2005,2,1528,恩德,安 侯 建 業 會 計 師 事 務 所,黃 柏 淑,許 育 峰,94-08-15,保留意見--依被投資公司未經會計師查核報告認列投資損益
2005,2,1529,樂士,建智聯合會計師事務所,陳宇頌,易昌運,94-08-09,無保留意見
2005,2,1530,亞崴,敬業會計師事務所,王日春會計師,黃勝義會計師,94-07-23,保留意見--依被投資公司未經會計師查核報告認列投資損益
2005,2,1531,高林股,勤業眾信會計師事務所,林安惠,洪玉美,94-08-20,修正式無保留意見--採用其他會計師查核且欲區分責任
2005,2,1532,勤美,安侯建業會計師事務所,楊美雪,蔡松棋,94-08-26,保留意見--依被投資公司未經會計師查核報告認列投資損益
2005,2,1533,車王電,資誠會計師事務所,楊明經,洪淑華,94-08-23,保留意見--依被投資公司未經會計師查核報告認列投資損益
2005,2,1535,中宇,勤業眾信會計師事務所,曾光敏 (勤業眾信代表,許芳益 (勤業眾信代表,94-07-20,保留意見--依被投資公司未經會計師查核報告認列投資損益
2005,2,1536,和大,資誠會計師事務所,蕭珍琪,洪淑華,94-08-23,保留意見--依被投資公司未經會計師查核報告認列投資損益
2005,2,1537,廣隆,資誠會計師事務所,蕭珍琪,楊明經,94-08-23,無保留意見
2005,2,1538,正峰新,亞 東 聯 合 會 計 師 事 務 所,"呂正樂 (YYY代表會計�/td>劉哲瑋 (YYY代表會計�/td>94/08/18
保留意見--依被投資公司未經會計師查核報告認列投資損益","劉哲瑋 (YYY代表會計�/td>94/08/18
保留意見--依被投資公司未經會計師查核報告認列投資損益",94-08-18,保留意見--依被投資公司未經會計師查核報告認列投資損益
