"公司代號","公司名稱","營業收入(百萬元)","毛利率(%)(營業毛利)/(營業收入)","營業利益率(%)(營業利益)/(營業收入)","稅前純益率(%)(稅前純益)/(營業收入)","稅後純益率(%)(稅後純益)/(營業收入)"
"6414","樺漢科技","4999.62","17.86","11.04","11.08","9.04"
"6415","F-矽力","2154.65","47.34","22.55","23.86","23.70"
"6422","F-君耀","994.76","39.28","13.61","13.29","10.00"
"6431","F-光麗","222.52","-21.34","-37.62","-35.47","-34.61"
"6442","光聖","2122.19","19.51","8.83","7.66","5.29"
"6443","元晶","3213.37","5.66","-0.20","-1.38","-0.94"
"6449","鈺邦科技","645.60","33.25","17.20","14.79","13.15"
"6451","F-訊芯","3024.80","20.73","14.67","16.93","13.82"
"6452","F-康友","2058.36","40.70","27.02","28.03","20.87"
"6456","F-GIS","29136.52","5.86","-0.70","0.48","0.46"
"6464","台數科","1524.69","56.37","38.76","38.92","31.82"
"6504","南六","3003.04","20.48","12.87","13.83","10.32"
"6505","台塑石化","339010.20","10.12","8.70","8.94","7.61"
"6605","帝寶工業","7129.84","29.63","13.21","10.63","7.79"
"6702","復興航空","5166.63","-5.16","-17.36","-5.30","-5.40"
"8011","台通","767.22","24.13","4.00","2.63","0.47"
"8016","矽創電子","4181.44","27.15","10.01","10.07","8.39"
"8021","尖點","1622.36","30.76","14.59","12.93","9.64"
"8033","雷虎科技","467.41","34.89","-18.05","-7.98","-9.49"
"8039","台虹科技","4351.24","21.90","10.26","7.93","6.50"
"8046","南電","15721.76","7.13","1.19","4.40","3.38"
"8070","長華電材","7929.80","8.51","0.76","12.60","11.40"
"8072","陞泰","844.34","24.31","6.96","9.20","7.96"
"8081","致新","1716.93","34.63","12.89","12.99","10.20"
"8101","華冠通訊","9153.48","7.10","-0.17","-1.41","-1.68"
"8103","瀚荃","1520.06","27.72","11.47","11.53","8.23"
"8105","凌巨","5374.59","8.90","-0.01","0.08","0.03"
"8110","華東","3827.75","5.45","0.14","-2.19","-2.40"
"8112","至上電子","33130.70","1.95","0.60","0.65","0.50"
"8114","振樺電子","1421.24","42.33","22.92","21.29","19.00"
"8131","福懋科技","4407.43","18.81","17.35","14.40","11.62"
"8150","南茂科技","10287.27","22.62","15.90","15.79","12.12"
"8163","達方電子","10076.72","12.09","0.68","0.71","0.57"
"8201","無敵","596.02","15.36","-16.82","-14.64","-14.61"
"8210","勤誠興業","2073.68","29.28","13.07","13.18","9.69"
"8213","志超","10864.18","15.16","6.89","7.83","5.72"
"8215","明基材料","7542.49","15.53","4.82","5.68","4.84"
"8222","寶一科技","451.04","20.67","10.77","8.79","7.74"
"8249","菱光科技","2619.80","14.67","7.01","8.08","5.72"
"8261","富鼎","810.93","22.94","11.08","11.76","8.89"
"8271","宇瞻科技","4013.21","12.02","3.34","3.78","3.06"
"8341","日友","759.21","55.54","36.96","36.09","29.36"
"8374","羅昇","2085.82","16.41","-0.37","-1.35","-1.14"
"8404","F-百和","1712.91","37.21","19.69","21.82","16.74"
"8411","F-福貞","3078.93","14.28","5.07","4.73","3.30"
"8422","可寧衛","1203.08","67.43","55.93","56.55","48.07"
"8427","F-基勝","3595.11","26.75","10.70","14.38","9.72"
"8429","F-金麗","2812.45","34.62","26.86","26.66","17.55"
"8443","阿瘦","1118.60","56.08","3.51","4.02","3.14"
"8454","富邦媒","12458.59","12.34","4.54","5.11","4.10"
"8463","潤泰精材","1842.79","15.77","10.93","9.84","8.17"
"8464","億豐","7641.49","43.85","20.11","19.52","14.92"
"8467","F-波力","1048.71","26.01","9.50","8.75","6.98"
"8926","台汽電","654.63","23.19","9.70","94.42","84.42"
"8940","新天地","900.40","46.67","3.93","4.20","2.54"
"8996","高力","1041.88","24.29","7.53","5.25","4.83"
"9802","F-鈺齊","4693.53","11.69","1.40","1.48","0.63"
"9902","台火","56.60","2.61","-19.68","-10.95","-10.95"
"9904","寶成工業","132759.89","23.14","4.44","8.00","6.42"
"9905","大華金","4220.69","16.30","9.24","10.90","8.67"
"9906","欣巴巴","547.52","20.28","8.95","8.16","8.16"
"9907","統一實業","19542.66","11.37","4.59","5.10","3.72"
"9908","大台北","2286.49","15.36","9.72","15.21","12.69"
"9910","豐泰企業","26179.44","20.07","9.09","10.18","7.57"
"9911","台灣櫻花","2344.95","31.10","10.38","9.87","7.50"
"9912","偉聯","319.88","22.88","-10.51","-11.79","-11.88"
"9914","美利達","13234.24","18.80","11.14","13.31","9.88"
"9917","中保","6594.69","35.14","17.63","19.79","15.92"
"9918","欣天然","1321.43","24.08","14.10","17.63","14.58"
"9919","康那香","2214.13","14.86","0.82","-0.25","-0.25"
"9921","巨大機械","30201.43","22.57","9.15","8.08","5.96"
"9924","台灣福興","3892.10","21.59","9.35","11.46","9.00"
"9925","新光保全","3462.56","37.75","15.16","20.58","16.64"
"9926","新海瓦斯","1239.22","20.61","14.19","16.00","13.45"
"9927","泰銘","5348.79","8.63","6.77","6.00","4.64"
"9928","中視","385.86","-43.62","-68.70","-57.87","-57.87"
"9929","秋雨","546.68","0.91","-9.07","-8.51","-8.51"
"9930","中聯資源","3891.06","19.41","14.33","14.25","11.87"
"9931","欣高","737.39","21.05","14.52","18.72","14.99"
"9933","中鼎工程","29863.58","8.07","5.50","5.19","4.11"
"9934","成霖企業","9572.82","27.95","2.61","4.39","3.04"
"9935","慶豐富","1693.24","14.83","2.18","3.49","3.23"
"9937","全國","10550.07","7.81","1.10","3.04","2.70"
"9938","台灣百和","4534.89","36.94","20.20","20.89","14.58"
"9939","宏全","9149.62","20.07","9.81","9.19","7.57"
"9940","信義房屋","3961.52","24.54","9.45","11.91","8.52"
"9941","裕融企業","8261.56","40.99","15.41","15.89","12.18"
"9942","茂順","1421.44","35.31","20.69","19.80","14.24"
"9943","好樂迪","1614.23","59.27","23.46","43.59","39.30"
"9944","新麗企業","2026.13","24.41","7.68","7.12","4.46"
"9945","潤泰創新","4202.79","23.75","5.50","81.21","78.78"
"9946","三發地產","425.15","35.60","18.01","18.26","14.25"
"9955","佳龍","1369.33","2.99","-1.28","-2.26","-1.98"
"9958","世紀鋼構","1391.42","9.47","3.76","0.73","0.44"
